,product_code,product_label,2016,2017,2018,2019,2020,importer,exporter
170,74,Copper and articles thereof,0,0,0,0,,Afghanistan,Africa not elsewhere specified
171,75,Nickel and articles thereof,0,0,0,0,,Afghanistan,Africa not elsewhere specified
172,76,Aluminium and articles thereof,0,0,0,0,,Afghanistan,Africa not elsewhere specified
173,78,Lead and articles thereof,0,0,0,0,,Afghanistan,Africa not elsewhere specified
174,79,Zinc and articles thereof,0,0,0,0,,Afghanistan,Africa not elsewhere specified
175,80,Tin and articles thereof,0,0,0,0,,Afghanistan,Africa not elsewhere specified
176,81,Other base metals; cermets; articles thereof,0,0,0,0,,Afghanistan,Africa not elsewhere specified
177,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",0,0,0,0,,Afghanistan,Africa not elsewhere specified
178,83,Miscellaneous articles of base metal,0,0,0,0,,Afghanistan,Africa not elsewhere specified
179,84,"Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof",0,0,0,0,,Afghanistan,Africa not elsewhere specified
180,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television . . .",0,0,0,0,,Afghanistan,Africa not elsewhere specified
181,86,"Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures . . .",0,0,0,0,,Afghanistan,Africa not elsewhere specified
182,87,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",0,0,0,0,,Afghanistan,Africa not elsewhere specified
183,88,"Aircraft, spacecraft, and parts thereof",0,0,0,0,,Afghanistan,Africa not elsewhere specified
184,89,"Ships, boats and floating structures",0,0,0,0,,Afghanistan,Africa not elsewhere specified
185,90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical . . .",0,0,0,0,,Afghanistan,Africa not elsewhere specified
186,91,Clocks and watches and parts thereof,0,0,0,0,,Afghanistan,Africa not elsewhere specified
187,92,Musical instruments; parts and accessories of such articles,0,0,0,0,,Afghanistan,Africa not elsewhere specified
188,93,Arms and ammunition; parts and accessories thereof,0,0,0,0,,Afghanistan,Africa not elsewhere specified
189,94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; . . .",0,0,0,0,,Afghanistan,Africa not elsewhere specified
190,95,"Toys, games and sports requisites; parts and accessories thereof",0,0,0,0,,Afghanistan,Africa not elsewhere specified
191,96,Miscellaneous manufactured articles,0,0,0,0,,Afghanistan,Africa not elsewhere specified
192,97,"Works of art, collectors' pieces and antiques",0,0,0,0,,Afghanistan,Africa not elsewhere specified
193,99,Commodities not elsewhere specified,0,0,0,0,,Afghanistan,Africa not elsewhere specified
194,01,Live animals,0,0,0,0,,Afghanistan,Albania
195,02,Meat and edible meat offal,0,0,0,0,,Afghanistan,Albania
196,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,0,0,0,,Afghanistan,Albania
197,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere . . .",0,0,0,0,,Afghanistan,Albania
198,05,"Products of animal origin, not elsewhere specified or included",0,0,0,0,,Afghanistan,Albania
199,06,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",0,0,0,0,,Afghanistan,Albania
200,07,Edible vegetables and certain roots and tubers,0,0,0,0,,Afghanistan,Albania
201,08,Edible fruit and nuts; peel of citrus fruit or melons,0,0,0,0,,Afghanistan,Albania
202,09,"Coffee, tea, maté and spices",0,0,0,0,,Afghanistan,Albania
203,10,Cereals,0,0,0,0,,Afghanistan,Albania
204,11,Products of the milling industry; malt; starches; inulin; wheat gluten,0,0,0,0,,Afghanistan,Albania
205,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal . . .",0,0,0,0,,Afghanistan,Albania
206,13,"Lac; gums, resins and other vegetable saps and extracts",0,0,0,0,,Afghanistan,Albania
207,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,0,0,0,0,,Afghanistan,Albania
208,15,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal . . .,0,0,0,0,,Afghanistan,Albania
209,16,"Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates",0,0,0,0,,Afghanistan,Albania
210,17,Sugars and sugar confectionery,0,0,0,0,,Afghanistan,Albania
211,18,Cocoa and cocoa preparations,0,0,0,0,,Afghanistan,Albania
212,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",0,0,0,0,,Afghanistan,Albania
213,20,"Preparations of vegetables, fruit, nuts or other parts of plants",0,0,0,0,,Afghanistan,Albania
214,21,Miscellaneous edible preparations,0,0,0,0,,Afghanistan,Albania
215,22,"Beverages, spirits and vinegar",0,0,0,0,,Afghanistan,Albania
216,23,Residues and waste from the food industries; prepared animal fodder,0,0,0,0,,Afghanistan,Albania
217,24,Tobacco and manufactured tobacco substitutes,0,0,0,0,,Afghanistan,Albania
218,25,"Salt; sulphur; earths and stone; plastering materials, lime and cement",0,0,0,0,,Afghanistan,Albania
219,26,"Ores, slag and ash",0,0,0,0,,Afghanistan,Albania
220,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral . . .",0,0,0,0,,Afghanistan,Albania
221,28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, . . .",0,0,0,0,,Afghanistan,Albania
222,29,Organic chemicals,0,0,0,0,,Afghanistan,Albania
223,30,Pharmaceutical products,0,0,0,0,,Afghanistan,Albania
224,31,Fertilisers,0,0,0,0,,Afghanistan,Albania
